Gene	aos_HRFR_1.5h_nw	aos_HRFR_1.5h_w	aos_LRFR_1.5h_nw	aos_LRFR_1.5h_w	aos_HRFR_4h_nw	aos_HRFR_4h_w	aos_LRFR_4h_nw	aos_LRFR_4h_w	Col-0_HRFR_1.5h_nw	Col-0_HRFR_1.5h_w	Col-0_LRFR_1.5h_nw	Col-0_LRFR_1.5h_w	Col-0_HRFR_4h_nw	Col-0_HRFR_4h_w	Col-0_LRFR_4h_nw	Col-0_LRFR_4h_w
AT3G62220	3.694551233	3.604794339	3.940498789	3.634721718	3.710625526	3.581656923	4.068278146	3.999905242	3.6629956	3.339638327	3.782097484	3.476389448	3.566118906	3.500682927	4.061124232	3.687648448
AT3G62240	5.27674036	5.245957909	5.238476423	5.341193161	5.155887176	5.187802941	5.479993825	5.456757337	5.227956404	5.347049242	5.311754166	5.368614625	5.153661957	5.232543213	5.408816908	5.276351046
AT3G62250	8.139855486	8.025628947	8.326178137	8.13163008	8.068798879	7.918220916	8.399944881	8.314607624	8.373225162	8.170804237	8.397338826	8.205112197	8.224573137	7.847209068	8.60610835	8.441580314
AT3G62260	2.421035322	2.543081836	2.123269264	2.455557094	1.559415856	1.818566395	0.847615919	1.138399421	2.060880885	2.67347837	2.161454308	2.399042111	1.638500978	1.960386948	1.044563905	1.366697255
AT3G62270	0.859342372	0.816551866	0.742528352	0.924465968	1.454825942	1.708216278	1.579878617	1.676430195	0.851056486	0.600412554	0.867684421	0.856376807	1.588482696	1.450513609	1.433371824	1.355161095
AT3G62290	7.697967602	7.84740387	7.757510433	7.791887216	7.851441663	8.013074616	7.661035892	7.734376741	7.760181544	8.435853449	7.701811511	8.13316857	7.879287424	8.545750933	7.656299553	7.847951744
AT3G62300	4.673066658	4.60934255	4.58928912	4.589765927	4.796849877	4.794653067	5.132657849	5.137637915	4.763226279	4.262336728	4.780325316	4.437639311	4.872793604	4.498352664	5.162500326	4.939972676
AT3G62310	5.93787513	5.980994831	5.840588454	6.021654656	5.70320065	5.660028647	5.865550883	5.829488833	5.991734301	5.968586394	5.955513101	5.976224543	5.741885123	5.440686348	5.949260999	5.781480203
AT3G62330	4.629983989	4.706045856	4.713081497	4.831258664	4.413290569	4.369088337	4.382881263	4.463022257	4.731980058	4.841665023	4.87251859	4.784480129	4.513606713	4.709978614	4.479696568	4.635697359
AT3G62360	6.718846235	6.678174973	6.643999961	6.722670999	6.847187797	6.855409501	7.451955063	7.38533314	6.771802219	6.557313336	6.817528887	6.629123133	6.854315667	6.720506933	7.411643973	7.065013685
AT3G62370	4.498039737	4.633883333	4.693013141	4.64400501	4.679064783	4.638688889	4.855174475	4.925148252	4.600926751	4.212991692	4.58908649	4.397498891	4.567427728	4.141500228	4.744055702	4.497790062
AT3G62390	4.360470176	4.201097048	4.316027275	4.145516351	4.34754255	4.34549486	3.784352266	3.683535506	4.447865872	4.108053469	4.306947432	4.135697643	4.349307625	4.304838135	3.821213927	3.875371881
AT3G62400	4.905764615	4.754831217	5.022941517	4.850105103	4.973714987	4.753317502	4.770240877	4.77703486	5.000069644	5.012634577	4.961478676	4.879620528	4.822886622	4.934171364	4.92972806	4.908387987
